Country,CountryID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Russia,643,348.3,303.3,270.5,316.9,308.5,286.2,371.2,450.6,522.8,409.9,425.7,402.5,357.9,289.4,356.8,359.5
Dominican Republic,214,189.2,196.0,209.7,228.7,249.1,226.1,226.2,283.3,279.6,261.1,342.2,381.1,400.2,448.2,331.7,353.5
Israel,376,100.6,94.9,104.4,112.8,139.6,167.8,163.0,160.1,184.7,191.9,204.8,221.5,244.9,270.6,279.0,302.5
South Africa,710,127.3,158.1,138.8,154.8,173.9,176.7,202.8,231.0,203.4,198.4,192.5,247.4,227.1,265.6,264.9,284.3
Greece,300,85.2,101.4,99.1,126.0,122.7,133.6,151.8,156.6,242.5,199.5,174.7,198.9,224.2,218.8,254.6,268.4
Uruguay,858,71.9,82.4,72.7,46.3,112.8,332.1,455.3,285.4,317.4,122.5,122.9,120.4,175.0,206.6,240.8,248.9
Morocco,504,65.2,57.4,52.9,65.5,84.4,83.7,81.0,92.6,108.8,128.8,109.9,155.2,183.7,138.3,158.8,199.9
Ghana,288,38.4,63.9,52.1,25.6,10.9,21.3,32.4,67.2,53.5,32.7,91.9,178.6,259.8,173.7,180.9,196.3
El Salvador,222,121.7,175.3,99.6,80.8,110.9,106.2,185.7,227.3,321.1,402.5,258.8,211.0,374.3,403.0,264.1,194.7
Bolivia,068,13.2,14.6,14.7,18.5,19.2,28.1,28.6,29.2,33.6,50.0,54.6,65.5,79.7,83.5,153.1,187.9
Iceland,352,220.3,174.2,139.8,153.6,135.9,145.0,131.6,132.6,120.6,103.6,88.3,104.7,105.7,135.3,155.5,168.7
Sri Lanka,144,32.0,37.5,29.5,30.9,37.4,41.1,41.0,50.3,52.1,51.2,45.3,61.8,77.4,108.4,114.4,153.3
Latvia,428,1.1,1.4,1.9,2.4,2.5,8.8,21.7,14.1,8.5,14.3,28.5,37.0,108.0,129.5,120.6,134.6
Portugal,620,73.9,66.8,65.0,85.0,80.8,87.1,99.0,99.8,102.4,102.8,88.4,99.3,112.2,107.5,118.0,130.8
Paraguay,600,9.1,9.8,9.3,9.3,11.0,10.1,22.2,13.1,26.3,39.6,21.6,24.6,62.6,57.9,170.1,128.6
Panama,591,160.3,130.1,129.1,124.4,134.8,127.6,155.6,144.3,141.9,141.0,109.1,130.6,142.9,148.3,133.8,127.7
Pakistan,586,36.7,36.5,40.7,32.4,35.5,36.8,35.2,61.9,48.7,74.0,62.2,60.6,78.7,119.9,117.2,115.2
Ethiopia,231,23.8,20.9,19.6,16.3,23.4,30.8,44.0,48.1,63.4,106.8,75.6,91.9,109.6,89.2,95.3,102.7
Kenya,404,32.1,31.0,35.4,35.0,36.8,45.2,47.6,51.0,46.5,58.4,53.1,70.4,83.5,93.7,77.9,102.7
Jamaica,388,91.6,89.6,93.3,100.2,116.5,120.9,142.5,236.5,241.1,332.8,242.7,128.5,205.6,266.1,144.3,93.7
Egypt,818,17.1,19.8,19.8,22.0,21.2,24.0,27.7,40.4,48.5,49.6,80.7,63.6,76.9,77.7,82.1,86.0
Rest of world,000,1,098.0,1,222.4,1,215.3,1,226.1,1,334.1,1,410.8,1,341.6,1,433.3,1,434.7,1,532.6,1,338.2,1,338.7,1,499.8,1,402.6,1,513.6,1,749.0
Total,000,40,850.1,42,805.7,43,339.7,46,195.3,51,971.4,57,848.6,63,767.8,70,245.8,76,325.8,84,039.1,76,683.2,86,339.4,102,202.2,106,316.6,109,312.3,119,117.8
